data,sentiment
"When the judge tries to use your
social media account against you but
all he finds is your fire meme collection

 
",positive
"These youtube challenges
are becoming impossible

  

0:33

Being Happy For An ENTIRE
Minute - Challenge

5.7K views * 5 days ago

 
",positive
"When you take her to a Bad Bunny concert
after a 200 dinner and he asks the crowd
""Where my single ladies at?""

i.love.latinas

 
",positive
"When you take her to a Bad Bunny concert
after a 200 dinner and he asks the crowd
""Where my single ladies at?""

i.love.latinas

 
",positive
"These youtube challenges
are becoming impossible

  

0:33

Being Happy For An ENTIRE
Minute - Challenge

5.7K views * 5 days ago

 
",positive
"TSG
a
a ,
a e
SMILING'S MY
a
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"Zidane after Shuffling the Starting Line-up
every week to get good results :

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"How I sleep while knowing that I've
pending assignments and differences
with people to sort.

 
",positive
"These youtube challenges
are becoming impossible

  

0:33

Being Happy For An ENTIRE
Minute - Challenge

5.7K views * 5 days ago

 
",positive
"aT NE

 
",positive
"aT NE

 
",positive
"aT NE

 
",positive
